[0mGET / [32m200 [0m8.030 ms - 611[0m
::1 - - [27/Sep/2017:18:28:59 +0000] "OPTIONS /users/authenticate HTTP/1.1" 204 0
::1 - - [27/Sep/2017:18:29:00 +0000] "POST /users/authenticate HTTP/1.1" 200 40
::1 - - [27/Sep/2017:18:29:10 +0000] "OPTIONS /users/authenticate HTTP/1.1" 204 0
::1 - - [27/Sep/2017:18:29:10 +0000] "POST /users/authenticate HTTP/1.1" 200 40
::1 - - [27/Sep/2017:18:29:28 +0000] "OPTIONS /users/authenticate HTTP/1.1" 204 0
::1 - - [27/Sep/2017:18:29:28 +0000] "POST /users/authenticate HTTP/1.1" 200 40
::1 - - [27/Sep/2017:18:30:59 +0000] "OPTIONS /users/authenticate HTTP/1.1" 204 0
::1 - - [27/Sep/2017:18:31:00 +0000] "POST /users/authenticate HTTP/1.1" 200 40
::1 - - [27/Sep/2017:18:31:15 +0000] "OPTIONS /users/authenticate HTTP/1.1" 204 0
::1 - - [27/Sep/2017:18:31:15 +0000] "POST /users/authenticate HTTP/1.1" 200 639
::1 - - [27/Sep/2017:18:31:43 +0000] "OPTIONS /users/authenticate HTTP/1.1" 204 0
::1 - - [27/Sep/2017:18:31:43 +0000] "POST /users/authenticate HTTP/1.1" 200 639
